
GEOID,NAME
2001300004A,Hiawatha City Ward 3
2001300004B,Hiawatha City Ward 3 Exclave
2001300005A,Hiawatha City Ward 4
2001300005B,Hiawatha City Ward 4 Exclave Club
20013000060,Hiawatha Township
20013000070,Horton Ward 1
20013000080,Horton Ward 2
2001300009A,Horton Ward 3
2001300009B,Horton Ward Exclave A
2001300009C,Horton Ward 3 Exclave B
20013000100,Irving Township
20013000110,Mission Township
20013000120,Morrill Township
2001300012A,Morril Township Enclave
20013000130,Padonia Township
20013000140,Powhattan Township
20013000150,Reserve Township
20013000160,Robinson Township
2001300017A,Sabetha Ward 1 Part A
2001300017B,Sabetha Ward 1 Part B
2001300018A,Sabetha Ward 4 Part A
20013000190,Sabetha Ward 5
20013000200,Walnut Township
20013000210,Washington Township
20013900010,Sabetha Ward 1 Part 1 Exclave
2001500001A,Andover City Ward 1
2001500001L,Andover City Ward 1 Exclave A
2001500001N,Andover City Ward 3 Exclave C
2001500001O,Andover City Ward 3 Exclave D Sewage Plant
2001500002A,Augusta City Ward 1
2001500002B,Augusta City Ward 1 Exclave A
2001500002C,Augusta City Ward 1 Exclave B
20015000030,Augusta City Ward 2
2001500004A,Augusta City Ward 3
2001500004B,Augusta City Ward 3 Exclave
20015000050,Augusta City Ward 4
20015000070,Benton Township/City
20015000080,Bloomington Township
2001500009C,Bruno Township Enclave B
2001500009F,Bruno Township Enclave D Part B
2001500009G,Bruno Township Enclave D Part C
2001500009H,Bruno Township Enclave D Part D
20015000100,Sycamore/Cassoday
20015000110,Clay Township
20015000120,Clifford Township
20015000130,Douglass Township/City
2001500014A,El Dorado City Ward 1
2001500016A,El Dorado City Ward 2
2001500016B,El Dorado City Ward 1 Exclave A
2001500016C,El Dorado City Ward 1 Exclave C
20015000190,El Dorado City Ward 3
20015000220,El Dorado City Ward 4
20015000240,Fairmount Township/Elbing
20015000250,Fairview Township
20015000260,Glencoe Township
20015000270,Hickory Township
20015000280,Lincoln Township
20015000290,Little Walnut Township/Leon
20015000300,Logan Township
20015000320,Murdock Township
20015000330,El Dorado Township West
20015000340,Pleasant Township
20015000350,Plum Grove Township/Potwin
20015000360,Prospect Township
20015000380,Rock Creek Township
20015000390,Rosalia Township
20015000410,Spring Township
20015000430,Towanda Township/City
20015000440,Union Township/Latham
20015000450,Walnut Township
20015120040,Augusta Township North
20015120050,Augusta Township
20015120080,Whitewater City
20015120090,Milton Township
20015140010,Andover City Ward 2
20015140020,Andover City Ward 3
20015140030,Andover City Ward 4
20015140040,Bruno Township 385 77
20015140050,Bruno Township 385 99
20015140060,Bruno Township 402 77
20015140070,Bruno Township 402 99
20015140080,El Dorado Township East
20015140090,El Dorado City W1 490 Exclave J
20015200010,Rose Hill City
20015200020,Richland Township H78
20015800050,Chelsea Township
20015800060,Andover City Ward 3 Exclave E
2001580010A,Augusta City Ward 1 Exclave C
2001580010B,Augusta City Ward 1 Exclave D
2001580030A,El Dorado City Ward 3 Exclave A
2001580040B,Richland Township H77 Exclave B
2001580070A,Rose Hill City Exclave A
2001580070B,Rose Hill City Exclave B
2001580070C,Rose Hill City Exclave C
2001580070D,Rose Hill City Exclave D
2001580070E,Rose Hill City Exclave E
2001580070F,Rose Hill City Exclave F
20017000010,Bazaar Township
20017000020,Cedar Township
20017000030,Cottonwood Township
20017000040,Diamond Township
20017000050,East Falls Township
20017000060,East Strong Township
20017000070,Homestead Township
20017000080,Matfield Township
20017000090,Toledo Township
20017000100,West Falls Township
20017000110,West Strong Township
20019000010,Caneyville Township
20019000020,Center Township
20019000030,Chautauqua
20019000040,Harrison Township
20019000050,Hendricks Township
20019000060,Jefferson Township
20019000070,Lafayette Township
20019000080,Little Caney Township
20019000090,North Sedan
20019000100,Peru
20019000110,Salt Creek Township
20019000120,South Sedan
20019000130,Summit Township
20019000140,Washington Township
20021000010,Baxter Springs Ward 1
20021000020,Baxter Springs Ward 2
2002100002A,Baxter Springs Ward 2 Exclave
20021000030,Baxter Springs Ward 3
2002100004A,Baxter Springs Ward 4
2002100004B,Baxter Springs Ward 4 Exclave
20021000050,Cherokee Township
20021000060,Columbus Ward 1
20021000070,Columbus Ward 2
2002100007A,Columbus Ward 2 Exclave
20021000080,Columbus Ward 3
20021000090,Columbus Ward 4
2002100010A,Columbus Ward 5
2002100010B,Columbus Ward 5 Exclave
20021000110,Crawford Township
20021000120,Galena Ward 1
2002100012A,Galena Ward 1 Exclave
2002100013A,Galena Ward 2
2002100013B,Galena Ward 2 Exclave A City Park
2002100013C,Galena Ward 2 Exclave B
2002100013D,Galena Ward 2 Exclave C
20021000140,Galena Ward 3
2002100015A,Galena Ward 4
20021000170,Garden Township Lowell
2002100018A,Garden Township Stanley Mine
20021000190,Lola Township
20021000200,Lowell Township
20021000210,Lyon Township
20021000220,Mineral Township
20021000230,Neosho Township Faulkner
20021000240,Neosho Township Melrose
20021000250,Pleasant View Township
20021000260,Roseland City
20021000270,Ross Township Belleview
20021000280,Ross Township Roseland
20021000290,Ross Township West Mineral
2002100030A,Salamanca Township
2002100030B,Salamanca Township Enclave
2002100030C,Salamanca Township Enclave 2
20021000310,Scammon Ward 1
20021000320,Scammon Ward 2
20021000330,Scammon Ward 3
20021000340,Shawnee Township
20021000350,Sheridan Township
20021000360,Spring Valley Township Neutral
2002100037A,Spring Valley Township Spring Valley
2002100037B,Spring Valley Township Spring Valley Enclave A
2002100037C,Spring Valley Township Spring Valley Enclave B
2002100037D,Spring Valley Township Spring Valley Enclave
20021000380,Treece City
2002100042A,West Mineral City
2002100042B,West Mineral City Exclave Big Brutus
20021000999,Weir City
20023000010,Benkelman Township
20023000020,Bird City Township
20023000030,Calhoun Township
