GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
27009000050,976,717,693,12,2,6,4,0,24,3002,2143,729,130
27009000020,849,610,599,5,2,2,0,0,11,2772,1971,707,94
27009000010,2711,1905,1796,28,32,41,8,1,109,6313,4101,1820,392
27009000025,790,583,568,3,2,1,5,0,15,2506,1821,570,115
27009000090,1273,924,899,8,0,12,1,0,25,3858,2894,841,123
27009000015,226,171,168,0,0,2,1,0,3,603,402,150,51
27009000045,865,646,631,6,2,5,1,0,15,2751,2001,645,105
27009000030,587,424,410,7,1,0,1,0,14,1872,1457,365,50
27009000060,1975,1315,1243,29,8,9,10,2,72,5111,3321,1421,369
27009000040,1012,775,749,9,4,6,4,0,26,3427,2533,768,126
27009000067,4,1,0,0,0,1,0,0,1,2,0,1,1
27009000120,3402,2558,2441,39,17,39,14,4,117,10528,6799,3227,502
27009000115,521,421,404,1,3,7,1,0,17,1979,1227,670,82
27009000112,3912,2768,2484,72,71,39,88,1,284,9578,5309,3642,627
27009000095,2131,1787,1643,36,34,28,23,0,144,5720,3045,2286,389
27009000110,2751,1981,1808,57,24,20,59,0,173,8687,4905,3329,453
27009000055,1505,1163,1129,9,8,13,5,2,34,5424,3958,1243,223
27009000056,9,9,9,0,0,0,0,0,0,29,16,13,0
27009000113,0,0,0,0,0,0,0,0,0,0,0,0,0
27009000070,2566,1871,1305,79,347,62,79,1,566,5605,2544,2662,399
27009000100,2381,1802,1569,64,48,77,32,1,233,6352,3486,2442,424
27009000105,2171,1712,1541,39,64,28,33,2,171,6203,3391,2431,381
27009000111,2647,2072,1817,67,93,46,46,4,255,6519,3313,2736,470
27009000085,2276,1777,1138,95,469,49,62,1,639,3251,1130,1793,328
27009000080,2254,1777,1291,99,264,71,39,1,486,5202,2030,2682,490
27011000065,85,63,60,1,0,2,0,0,3,306,193,98,15
27011000056,24,23,22,0,0,0,0,0,1,94,60,31,3
27011000055,167,107,106,1,0,0,0,0,1,322,200,101,21
27011000060,82,60,59,0,0,1,0,0,1,289,180,93,16
27011000010,107,85,80,0,0,1,1,0,5,347,177,156,14
27011000035,386,313,291,8,8,7,2,1,22,1211,533,601,77
27011000090,69,57,56,0,0,1,0,0,1,290,172,110,8
27011000025,290,225,221,2,0,0,1,0,4,1155,736,372,47
27011000015,89,60,56,0,0,2,1,0,4,297,136,144,17
27011000005,158,129,126,0,1,3,0,0,3,618,279,305,34
27011000075,140,111,109,1,0,0,0,0,2,473,342,109,22
27011000086,90,77,75,1,1,1,1,0,2,311,211,92,8
27011000070,103,86,86,0,0,0,0,0,0,327,171,123,33
27011000040,26,15,15,0,0,0,0,0,0,79,49,23,7
27011000100,43,25,19,2,0,2,0,0,6,146,107,34,5
27011000020,16,15,9,1,0,0,0,0,6,62,20,39,3
27011000030,131,95,94,1,1,0,1,1,1,447,206,230,11
27011000031,216,176,169,3,0,2,0,1,7,598,267,291,40
27011000045,118,111,111,0,0,0,0,0,0,484,258,200,26
27011000095,276,205,186,6,8,5,2,1,19,671,361,286,24
27011000080,1270,1050,1000,18,8,18,8,0,50,3903,2078,1593,232
27011000050,529,434,429,0,0,4,0,0,5,1909,1049,768,92
27011000085,751,553,489,42,6,26,7,2,64,2046,1183,737,126
27013000055,679,519,501,10,1,2,1,0,18,2410,1381,936,93
27013000095,1247,924,880,12,8,7,9,1,44,3835,2025,1587,223
27013000070,770,603,582,11,0,2,4,0,21,2548,1469,990,89
27013000075,946,735,704,11,6,3,10,2,31,3297,1892,1261,144
27013000195,210,159,158,0,0,0,1,0,1,822,486,316,20
27013000040,3268,2317,2106,61,62,25,38,2,211,8770,4403,3810,557
27013000197,1608,1265,1194,20,10,9,21,1,71,5628,2797,2578,253
27013000160,3499,2754,2234,138,229,50,103,5,520,10197,4040,5512,645
27013000150,1641,1360,1152,92,38,23,46,0,208,4761,1965,2592,204
27013000135,5648,4606,3483,260,477,71,287,7,1123,10054,3667,5447,940
27013000035,1146,859,834,10,3,6,4,1,25,3954,2356,1465,133
27013000175,553,423,387,18,7,5,7,1,36,1442,563,776,103
27013000170,3607,2655,2380,106,62,35,52,9,275,9328,4280,4539,509
27013000165,6568,5426,4594,218,337,87,156,8,832,17864,5808,10722,1334
27013000155,2117,1798,1393,109,170,54,86,7,405,4490,1566,2494,430
27013000142,2577,2154,1738,114,147,38,109,2,416,7384,2467,4335,582
27013000145,3700,3129,2106,173,538,31,272,8,1023,8339,2679,4872,788
27013000140,2896,2381,1900,149,199,46,79,6,481,7096,1757,4619,720
27013000105,492,399,286,30,70,7,7,1,113,1219,362,713,144
27013000100,1368,1071,894,41,93,29,18,0,177,3493,1117,2095,281
27013000106,1471,1094,984,45,10,16,24,0,110,4708,1710,2724,274
