GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
2400107-002,2147,1701,1589,8,29,22,45,0,112,6281,4529,1610,142
2400105-004,1735,1377,1214,22,104,21,12,1,163,3662,2124,1393,145
2400124-000,1764,1493,1437,12,20,14,14,1,56,4700,3530,1056,114
2400120-000,1896,1557,1493,15,10,24,10,1,64,5238,4136,987,115
2400107-001,5068,4669,2153,117,2305,57,27,1,2516,5743,3973,1629,141
2402102-016,4125,3143,1412,571,855,77,254,11,1731,8422,2457,5642,323
2402102-006,3901,3054,1936,420,434,55,242,3,1118,11705,4750,6552,403
2400902-004,4866,3720,2627,99,799,88,90,9,1093,10995,5825,4812,358
2400903-007,4154,3141,2543,127,272,68,115,4,598,12509,7803,4345,361
2400903-006,3234,2482,2003,105,211,60,94,10,479,11398,7138,3941,319
2402117-001,2135,1703,1581,34,20,27,20,3,122,7357,5205,1939,213
2402118-001,4255,3312,2799,201,156,71,85,6,513,16113,9450,6099,564
2402118-002,3361,2607,2435,47,53,40,19,4,172,11842,8137,3385,320
2402121-001,2219,1814,1555,121,52,26,63,1,259,7698,4554,2863,281
2402121-005,0,0,0,0,0,0,0,0,0,0,0,0,0
2402121-007,889,730,647,33,18,5,27,0,83,2747,1551,1111,85
2402121-006,0,0,0,0,0,0,0,0,0,0,0,0,0
2402121-008,33,23,13,5,0,3,0,0,10,54,35,16,3
2402109-002,6443,4823,3601,416,336,71,362,1,1222,16847,9849,6469,529
2402109-001,4370,3115,2641,121,119,40,165,2,474,14359,7944,5891,524
2402113-002,170,144,112,22,3,3,2,3,32,646,419,212,15
2402113-003,1017,724,563,46,68,19,37,0,161,1480,774,651,55
2402113-001,6284,4511,3799,243,195,109,139,6,712,18332,9470,8195,667
2400303-006,12984,9941,5417,672,2958,199,798,32,4524,27131,12384,13917,830
2400303-007,3117,2343,1915,78,202,59,69,6,428,9131,5361,3396,374
2400302-007,4375,3446,1942,351,852,97,232,9,1504,10364,4681,5311,372
2400302-004,3151,2592,1458,126,742,53,200,11,1134,8959,4006,4692,261
2400307-007,2968,2373,2051,91,105,40,64,8,322,9494,5635,3554,305
2400304-015,3564,2852,2450,83,144,64,87,15,402,12365,6717,5172,476
2400303-004,4389,3364,2461,229,409,94,157,8,903,11179,6612,4107,460
2400307-025,2952,2341,1936,70,212,64,40,2,405,9267,5490,3494,283
2400302-014,5694,4386,1314,420,2467,93,172,13,3072,9956,2199,7457,300
2400302-005,4085,3205,1562,459,983,86,159,5,1643,7867,3272,4303,292
2400302-017,5071,3801,1267,488,1756,81,264,10,2534,8110,2147,5745,218
2400302-012,2634,2052,1404,273,239,87,76,3,648,4921,2851,1840,230
2402111-001,3373,2613,2350,92,66,54,43,0,263,10039,6880,2867,292
2402125-001,5260,4025,3244,248,315,104,96,5,781,14227,6992,6589,646
2402103-002,4572,3527,3119,132,81,70,109,4,408,13449,7764,5237,448
2402105-001,7415,6087,5001,269,536,126,159,27,1086,14167,9506,4178,483
2402107-003,3489,2656,2114,186,116,51,183,1,542,9981,5417,4234,330
2402107-004,4225,2894,1809,245,268,61,534,3,1085,8688,3676,4762,250
2402123-001,7704,5922,3708,737,980,87,436,10,2214,19625,8857,10076,692
2402123-004,0,0,0,0,0,0,0,0,0,0,0,0,0
2402106-001,2063,1687,1596,18,19,27,15,2,91,7554,5595,1757,202
2402103-001,2811,2171,1976,83,44,37,31,5,195,7896,4466,3151,279
2402114-001,4357,3534,3100,147,125,73,92,4,434,15918,9517,5917,484
2402114-002,624,500,463,5,11,6,8,1,37,2068,1424,587,57
2400901-002,4153,3101,2015,130,847,81,42,10,1086,10446,4961,5118,367
2400901-006,4810,3602,2632,149,570,116,133,5,970,11837,6475,4820,542
24009ZZZZZZ,13,12,1,3,4,0,4,0,11,7,3,4,0
