GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
12095000407,2890,2288,1197,617,251,45,197,8,1091,9489,4186,5053,250
12107000030,295,240,199,23,8,1,4,0,41,919,776,129,14
12099000388,1886,1548,603,347,523,25,75,0,945,2987,712,2211,64
1209500101B,3461,2802,1133,542,454,25,488,5,1669,8669,3145,5361,163
12083000092,1771,1761,1606,80,52,5,13,1,155,8935,5684,3109,142
120170204.2,1841,1809,1556,72,43,14,113,1,253,5099,3492,1506,101
12099000709,1870,1427,1006,247,95,16,65,1,421,6297,3277,2921,99
12031000095,3137,2743,1587,401,528,38,168,4,1156,9441,4285,4893,263
12099000369,913,647,206,101,201,4,136,1,441,2292,779,1479,34
12115000093,1142,959,837,74,9,7,24,1,122,3638,2187,1393,58
12127000112,466,363,322,16,3,14,12,2,41,1357,938,390,29
12033000220,870,702,471,32,144,28,23,2,231,2290,1284,933,73
12033000117,459,369,205,26,122,17,9,0,164,1252,473,751,28
12099000592,2730,2216,1388,423,164,18,173,5,828,8317,3399,4809,109
12127000136,19,15,12,3,0,0,0,0,3,20,13,7,0
12033000185,16,8,0,0,0,5,0,0,8,0,0,0,0
12081000041,663,437,179,205,41,18,8,2,258,1104,645,425,34
12033000244,2792,2282,1815,127,198,60,70,15,467,7809,5895,1739,175
12033000210,389,322,270,15,16,10,6,0,52,1698,1081,582,35
12033000196,4773,4560,3272,412,197,47,479,23,1288,7187,6355,695,137
1201100E021,3575,2737,987,923,635,28,139,0,1750,7781,2905,4745,131
1201100M016,884,839,297,401,123,9,19,0,542,2642,771,1847,24
1201100M017,1437,1332,508,534,241,9,31,4,824,4229,1207,2971,51
12101000087,61,54,33,15,5,1,0,0,21,186,100,79,7
12039000029,804,697,565,26,69,21,6,0,132,3032,2013,975,44
12033000236,1888,1533,1206,61,165,51,42,3,327,4300,2665,1515,120
12099000112,1188,1124,1056,29,13,5,19,1,68,5593,3583,1962,48
12099000021,4,4,4,0,0,0,0,0,0,7,7,0,0
12099000192,1330,1256,1136,46,27,5,25,4,120,4116,2499,1559,58
1201100M018,1413,1214,323,528,298,10,80,1,891,3778,956,2775,47
12099000554,2356,2133,1466,350,206,16,48,5,667,5460,1934,3427,99
12099000599,2124,2047,1846,132,22,9,27,0,201,7665,2995,4608,62
12099000597,1461,1453,1169,194,63,2,15,4,284,5058,1743,3269,46
12057000031,531,405,275,66,36,20,15,0,130,1544,896,597,51
12021000014,1329,1102,557,370,157,11,11,0,545,6259,3895,2289,75
12031000229,2265,1706,782,174,688,36,30,3,924,5087,2722,2266,99
12031000042,694,613,322,110,136,8,49,7,291,1479,723,709,47
12031000101,2278,1878,1582,147,55,22,72,5,296,9153,6609,2366,178
12031000154,1118,830,11,32,792,6,7,0,819,2257,93,2141,23
12061000038,4,2,0,0,2,0,0,0,2,24,14,8,2
12031000257,3729,3041,1338,606,805,65,266,4,1703,7149,2545,4354,250
12031000153,1328,991,340,38,597,15,14,0,651,2834,927,1865,42
12086000391,0,0,0,0,0,0,0,0,0,0,0,0,0
12057000655,2874,2291,1338,402,409,44,134,3,953,9561,4234,5090,237
12099000741,3232,2339,1436,388,296,13,188,2,903,9328,4563,4641,124
12099000044,1821,1634,1521,43,15,11,27,0,113,7263,3666,3523,74
12099000003,0,0,0,0,0,0,0,0,0,1,0,1,0
12099000104,1592,1385,1221,98,15,13,38,2,164,5477,3076,2318,83
12086001071,2247,1910,537,1069,216,3,71,1,1373,3568,1167,2336,65
12086001070,19,18,0,10,1,2,5,1,18,0,0,0,0
12099000020,908,755,609,68,31,11,18,0,146,3426,2185,1206,35
12057000510,2998,2474,1671,516,189,32,67,3,803,11159,6176,4786,197
12009000236,706,622,536,39,15,10,21,0,86,3055,1832,1154,69
12009000218,600,581,526,17,7,5,21,0,55,2791,1677,1050,64
