GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
51710000215,3455,2833,1676,163,816,85,131,7,1157,8392,3186,5038,168
51710000305,3365,2697,817,195,1607,73,72,5,1880,7470,1323,6033,114
51087000418,3186,2403,1542,124,498,33,194,7,861,8853,3307,5317,229
51087000514,4907,3713,482,82,3124,45,24,2,3231,12966,1105,11732,129
51087000516,5024,3868,1253,108,2428,93,45,2,2615,14136,3001,10977,158
51087000212,1318,1115,573,37,428,26,60,0,542,4060,1032,2964,64
51087000411,5233,3775,1881,623,749,63,475,8,1894,10441,3875,6333,233
51087000106,5360,5102,2537,573,1463,99,460,17,2565,13148,4869,7949,330
51087000404,2322,1867,1630,84,52,26,54,4,237,8779,3839,4691,249
51760000101,2822,2654,1851,210,223,21,326,2,803,6581,2003,4377,201
51087000415,2849,2156,1024,329,285,48,444,7,1132,6897,2672,4092,133
51087000314,4558,3643,2526,305,365,76,341,7,1117,12969,5878,6766,325
51087000309,5846,3912,1997,140,269,31,1445,3,1915,12737,5477,7034,226
51093000401,1382,1079,884,8,161,26,6,0,195,4144,2885,1211,48
51093000504,2175,1747,1378,32,250,57,23,2,369,6568,4510,1970,88
51087000213,2926,2099,621,116,1007,34,329,1,1478,7467,1301,6035,131
51087000211,1625,1258,127,46,1076,17,13,2,1131,4568,214,4301,53
51087000224,2011,1147,49,10,1079,15,6,0,1098,4049,87,3926,36
51760000606,3076,2478,420,65,1954,45,25,4,2058,8329,290,7957,82
51760000304,2622,2114,457,75,1566,33,23,0,1657,7181,217,6883,81
51087000301,4245,3184,1945,159,352,40,672,1,1239,9571,4274,5086,211
51087000305,4810,3557,3003,98,107,16,298,6,554,14353,7202,6764,387
51073000302,4414,3434,2871,93,302,98,52,12,563,11309,7489,3612,208
51073000201,2927,2454,2067,64,236,53,42,5,387,7743,4660,2943,140
51073000502,3742,2926,2409,98,278,85,51,9,517,9279,6125,2951,203
51045000303,395,311,296,4,0,11,1,0,15,1516,1023,470,23
51710000304,2648,2016,452,135,1259,52,148,13,1564,5685,913,4708,64
